name,description,short_description,category,price,mrp,stock,brand,sku,tags,image_url,image_url_2,image_url_3,image_url_4,is_active,is_featured,is_new_arrival,cod_available
Gold Diamond Solitaire Ring,Elegant 18K gold solitaire ring featuring a brilliant-cut 0.5 carat diamond. Hallmark certified with BIS 916 stamp. Perfect for engagements and special occasions.,18K Gold · 0.5ct Diamond · BIS Certified,Rings,45999,52000,15,AuraGems,RNG-GD-001,ring|gold|diamond|solitaire|engagement,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=600&q=80,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=600&q=80,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?w=600&q=80,true,true,true,true
Rose Gold Twisted Band Ring,Delicate 14K rose gold twisted band ring with a modern spiral design. Lightweight and comfortable for everyday wear. Available in sizes 5–10.,14K Rose Gold · Twisted Design · Everyday Wear,Rings,8999,11500,30,AuraGems,RNG-RG-002,ring|rose gold|band|everyday|modern,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=600&q=80,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=600&q=80,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=600&q=80,true,false,true,true
Emerald Halo Ring,Stunning 18K gold ring with a 0.8ct emerald center stone surrounded by a halo of white diamonds. Classic design with modern flair. Comes in a premium gift box.,18K Gold · 0.8ct Emerald · Diamond Halo,Rings,38500,44000,10,AuraGems,RNG-EM-003,ring|emerald|halo|gold|gemstone,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?w=600&q=80,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=600&q=80,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=600&q=80,true,true,false,true
Pearl Chandelier Earrings,Luxurious freshwater pearl chandelier earrings set in sterling silver. Each pearl is hand-selected for uniform lustre. Ideal for weddings and formal events.,Sterling Silver · Freshwater Pearl · 4cm Drop,Earrings,5499,7000,25,AuraGems,ERR-PE-001,earrings|pearl|chandelier|silver|wedding,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,true,true,true,true
Diamond Stud Earrings,Classic pair of 0.4ct total weight diamond stud earrings set in 18K white gold with secure screw-back clasps. A timeless jewellery staple for every woman.,18K White Gold · 0.4ct TW Diamond · Screw Back,Earrings,19999,24000,20,AuraGems,ERR-DS-002,earrings|diamond|studs|white gold|classic,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,true,true,false,true
Gold Jhumka Earrings,Traditional Indian jhumka earrings in 22K gold with intricate meenakari work and ruby accents. Handcrafted by artisans in Jaipur. Perfect for ethnic occasions.,22K Gold · Meenakari · Ruby Accents,Earrings,14500,18000,18,AuraGems,ERR-JH-003,earrings|jhumka|gold|indian|ethnic|traditional,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,true,false,true,true
Diamond Tennis Necklace,Exquisite 18K white gold tennis necklace featuring 3ct total weight of VS-clarity round brilliant diamonds. 18-inch length with secure box clasp.,18K White Gold · 3ct TW · VS Clarity · 18 inch,Necklaces,89999,105000,5,AuraGems,NCK-TN-001,necklace|tennis|diamond|white gold|luxury,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,true,true,false,false
Gold Mangalsutra,Auspicious 22K gold mangalsutra with black beads and diamond-cut gold pendant. Traditional design with a modern lightweight chain. Length: 18 inches.,22K Gold · Black Beads · Diamond-Cut Pendant,Necklaces,22000,27500,22,AuraGems,NCK-MS-002,mangalsutra|gold|traditional|wedding|pendant,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,true,true,true,true
Sapphire Pendant Necklace,18K gold pendant featuring a deep blue Ceylon sapphire surrounded by diamond accents. Comes with an 18-inch fine gold chain. Certificate of authenticity included.,18K Gold · Ceylon Sapphire · Diamond Accents,Necklaces,31500,38000,12,AuraGems,NCK-SP-003,necklace|pendant|sapphire|gold|gemstone,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,true,false,true,true
Layered Boho Necklace Set,Set of 3 sterling silver boho-style necklaces in varying lengths — 16 inch disc pendant, 18 inch feather charm, and 20 inch layered chain. Trendy everyday look.,Sterling Silver · Set of 3 · 16/18/20 inch,Necklaces,3999,5500,40,AuraGems,NCK-BH-004,necklace|boho|layered|silver|trendy|set,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,true,false,true,true
Gold Kada Bangle,Classic 22K gold solid kada bangle with a smooth polished finish and subtle engravings on the edges. Weight: approx 15g. Available in 2.4 to 2.8 inner diameter.,22K Gold · 15g · Polished Finish · Sizes 2.4–2.8,Bangles,42000,49000,8,AuraGems,BNG-KD-001,bangle|kada|gold|traditional|solid,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,true,true,false,true
Diamond Bangle Set,Set of 3 delicate 18K white gold bangles each studded with round brilliant diamonds. Total diamond weight: 0.6ct. Perfect for stacking or wearing individually.,18K White Gold · Set of 3 · 0.6ct TW Diamond,Bangles,55000,65000,6,AuraGems,BNG-DM-002,bangle|diamond|white gold|set|luxury,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,true,true,true,false
Kundan Choker Set,Opulent Kundan choker necklace set with matching earrings. Crafted in Rajasthani style with 22K gold foil, Kundan stones, and polki diamonds. Bridal collection.,22K Gold Foil · Kundan · Polki · Bridal,Bridal Sets,75000,90000,4,AuraGems,BRD-KC-001,kundan|choker|bridal|set|rajasthani|wedding,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=600&q=80,true,true,true,false
Temple Jewellery Necklace Set,South Indian temple-style gold necklace with matching jhumka earrings. Deity motifs handcrafted in 22K gold with ruby and emerald accents. Traditional masterpiece.,22K Gold · Ruby & Emerald · Temple Style,Bridal Sets,95000,110000,3,AuraGems,BRD-TJ-002,temple|jewellery|south indian|gold|bridal|necklace,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,true,true,false,false
Silver Anklet Pair,Oxidised sterling silver anklet pair with traditional ghungroo bells. Adjustable length from 9 to 11 inches. Makes a soft melodious sound with every step.,Sterling Silver · Oxidised · Ghungroo Bells,Anklets,1299,1800,50,AuraGems,ANK-SL-001,anklet|silver|oxidised|ghungroo|traditional,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,true,false,true,true
Gold Charm Bracelet,18K gold charm bracelet with 5 interchangeable charms — heart, star, moon, flower, and infinity. Add more charms over time to tell your story.,18K Gold · 5 Charms · Lobster Clasp · 7 inch,Bracelets,17500,21000,20,AuraGems,BRC-CH-001,bracelet|charm|gold|heart|star|personalised,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,true,false,true,true
Diamond Tennis Bracelet,Sparkling 18K white gold tennis bracelet with 2ct total weight of round brilliant diamonds. Safety clasp with double lock. Elegant gift for any occasion.,18K White Gold · 2ct TW · Safety Clasp · 7 inch,Bracelets,62000,75000,7,AuraGems,BRC-TN-002,bracelet|tennis|diamond|white gold|luxury,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&q=80,https://images.unsplash.com/photo-1602173574767-37ac01994b2a?w=600&q=80,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=600&q=80,https://images.unsplash.com/photo-1599459183200-59c7687a0c70?w=600&q=80,true,true,false,false
Nose Ring Nath Set,Traditional 22K gold nose ring nath with Kundan work and pearl drops. Comes with a matching small everyday nose pin. Ideal for brides and festivals.,22K Gold · Kundan · Pearl Drop · Bridal,Nose Rings,8500,11000,15,AuraGems,NSR-NT-001,nose ring|nath|gold|kundan|bridal|festival,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=600&q=80,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?w=600&q=80,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=600&q=80,true,false,true,true
Ruby Maang Tikka,Exquisite 22K gold maang tikka with a central ruby surrounded by polki diamonds and enamel work. Chain length adjustable 10–14 inches. A must for bridal trousseau.,22K Gold · Ruby · Polki · Enamel,Hair Jewellery,12500,16000,10,AuraGems,HJW-MT-001,maang tikka|ruby|gold|bridal|hair jewellery,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?w=600&q=80,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=600&q=80,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&q=80,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=600&q=80,true,true,true,true
Oxidised Silver Boho Set,Trendy oxidised silver jewellery set including long earrings, layered necklace, and adjustable ring. Bohemian style with tribal motifs. Perfect for college and casual wear.,Oxidised Silver · Set of 3 · Boho Style,Fashion Jewellery,1999,2800,60,AuraGems,FSH-BS-001,oxidised|silver|boho|set|fashion|casual|ring,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&q=80,https://images.unsplash.com/photo-1573408301185-9519f94f7a74?w=600&q=80,true,false,true,true
